x	exact	n1	n2	n3	n4	n5	n8	n12	n20	n30	n50
0.847695	1.000000	1.589429	0.968309	0.724795	1.055242	0.913706	0.991151	0.958420	0.935336	1.015336	1.103486
0.849699	1.000000	1.593186	0.957827	0.728993	1.056358	0.912767	0.989996	0.959982	0.935527	1.016848	1.105282
0.851703	1.000000	1.596944	0.947285	0.733372	1.057425	0.911888	0.988875	0.961737	0.936241	1.018189	1.105393
0.853707	1.000000	1.600701	0.936683	0.737932	1.058441	0.911070	0.987792	0.963678	0.937484	1.019348	1.103758
0.855711	1.000000	1.604459	0.926020	0.742674	1.059404	0.910315	0.986752	0.965797	0.939257	1.020310	1.100339
0.857715	1.000000	1.608216	0.915298	0.747600	1.060312	0.909626	0.985759	0.968088	0.941557	1.021064	1.095133
0.859719	1.000000	1.611974	0.904514	0.752710	1.061162	0.909004	0.984818	0.970539	0.944377	1.021603	1.088165
0.861723	1.000000	1.615731	0.893671	0.758007	1.061952	0.908452	0.983932	0.973143	0.947704	1.021919	1.079494
0.863727	1.000000	1.619489	0.882768	0.763491	1.062680	0.907971	0.983107	0.975886	0.951522	1.022005	1.069214
0.865731	1.000000	1.623246	0.871804	0.769163	1.063344	0.907563	0.982345	0.978757	0.955808	1.021861	1.057453
0.867735	1.000000	1.627004	0.860780	0.775025	1.063941	0.907232	0.981651	0.981744	0.960536	1.021484	1.044377
0.869739	1.000000	1.630762	0.849695	0.781078	1.064469	0.906979	0.981029	0.984833	0.965673	1.020876	1.030183
0.871743	1.000000	1.634519	0.838551	0.787322	1.064926	0.906806	0.980482	0.988008	0.971181	1.020042	1.015102
0.873747	1.000000	1.638277	0.827346	0.793760	1.065308	0.906716	0.980014	0.991255	0.977020	1.018989	0.999396
0.875752	1.000000	1.642034	0.816081	0.800392	1.065615	0.906711	0.979629	0.994558	0.983141	1.017725	0.983356
0.877756	1.000000	1.645792	0.804756	0.807220	1.065843	0.906794	0.979329	0.997899	0.989494	1.016263	0.967292
0.879760	1.000000	1.649549	0.793370	0.814244	1.065990	0.906967	0.979118	1.001261	0.996021	1.014617	0.951538
0.881764	1.000000	1.653307	0.781925	0.821466	1.066054	0.907232	0.978998	1.004627	1.002663	1.012803	0.936438
0.883768	1.000000	1.657064	0.770419	0.828887	1.066032	0.907592	0.978972	1.007976	1.009356	1.010842	0.922342
0.885772	1.000000	1.660822	0.758852	0.836509	1.065922	0.908050	0.979042	1.011290	1.016032	1.008754	0.909600
0.887776	1.000000	1.664579	0.747226	0.844332	1.065721	0.908609	0.979211	1.014550	1.022621	1.006564	0.898553
0.889780	1.000000	1.668337	0.735539	0.852357	1.065427	0.909270	0.979479	1.017734	1.029049	1.004297	0.889524
